t p_x p_y p_z o_x o_y o_z o_w j
1.62029790878296 -0.103780922349085 -0.0574671225070162 0.117295871173802 0.235661246897768 -0.0929066551757501 0.685653158465361 0.682430858344725 0.486438628947884
1.6302855014801 -0.103706045622148 -0.0575939046648739 0.117535702694934 0.23500060189989 -0.0931796585417397 0.684422889437594 0.683854938385788 0.488072069609226
1.64062809944153 -0.103629176302201 -0.057723290282237 0.117783334966889 0.234314952600349 -0.0942862919420206 0.683845365978387 0.684515970280903 0.489052134006032
1.65042901039124 -0.103560915641348 -0.0578470200397544 0.118022435678151 0.234030871370864 -0.0952906735061186 0.68308079548199 0.685237087168986 0.489868854336704
1.66011762619019 -0.103497595682962 -0.0579768112386526 0.118245941791726 0.234009569461533 -0.0959355376454157 0.681686427306543 0.68654170218797 0.491338950931912
1.67076349258423 -0.103432982960713 -0.058111668670033 0.118490637789839 0.233660249523676 -0.0965175642756836 0.679813110560789 0.688434007213826 0.493135735659389
1.68090295791626 -0.103374695497024 -0.058236784097979 0.118723989962066 0.233226374294627 -0.0976793375704592 0.678743697117891 0.689471681048552 0.495422552585269
1.69104027748108 -0.10332681002418 -0.0583450674071496 0.118945704260883 0.232838225481074 -0.0992740793592427 0.67850892493941 0.68960616057266 0.499016122040223
1.70070934295654 -0.103288010081799 -0.0584500796286707 0.119158159164201 0.232586542607141 -0.100144568511852 0.677607238442007 0.690451298794223 0.503916444024251
1.71112751960754 -0.103249991074837 -0.0585469630669278 0.119366164341174 0.232267910337116 -0.10053886792815 0.676344430641271 0.691738219996474 0.5065299490824
1.72104382514954 -0.103218046311371 -0.0586338545908719 0.119573500803458 0.232029999817892 -0.101118532840543 0.675675727281407 0.692386765517241 0.505876572817863
1.73116564750671 -0.103187912561704 -0.0587110721740795 0.119776222786238 0.2318161054146 -0.100907405622605 0.674506755953479 0.693627872085628 0.505549884685594
1.74138712882996 -0.103160880538571 -0.0587711690140523 0.119981272772043 0.231503149763987 -0.101105498647832 0.674063972309471 0.694133799081202 0.506366605016266
1.75139951705933 -0.103135734576398 -0.0588197355098016 0.120183065036758 0.231060912645463 -0.101619209310346 0.674136712022113 0.694135494302518 0.508000045677608
1.76120829582214 -0.103113565239817 -0.058861294135378 0.12037755829806 0.23081608733536 -0.101783545095504 0.673595815706053 0.694717727453592 0.510123518537354
1.77128553390503 -0.103094045808784 -0.0589001401280145 0.120573142120844 0.23068264438901 -0.10146142395394 0.672362067388143 0.696003123099656 0.51339039986004
1.78111743927002 -0.103077736593411 -0.0589275547749449 0.120766177710556 0.230318320997241 -0.101034467829972 0.670992250405268 0.697506205864435 0.516003904918188
1.79143929481506 -0.103069922313478 -0.0589411959133819 0.120960059688683 0.2301460893992 -0.101046792418416 0.670047635088797 0.698468675022807 0.519270786240874
1.80163955688477 -0.103067740563981 -0.0589443068588545 0.121145133767337 0.230113042198752 -0.101276836762391 0.668936398109337 0.699510604229805 0.523681076026499
1.81152772903442 -0.103063494482301 -0.0589423725957083 0.121327051943893 0.229952826569785 -0.101099481712356 0.667262272741705 0.701185889565409 0.529398118341199
1.82164072990417 -0.103058700649056 -0.0589283950931558 0.121516283752855 0.229830791283472 -0.101429237466054 0.666309869206026 0.702083382059223 0.533971752192959
1.8316171169281 -0.103049030580608 -0.0588857062262729 0.121713271951651 0.229237713295487 -0.102107052418087 0.666533599802615 0.701966652330233 0.534951816589765
1.8416121006012 -0.103039961571293 -0.0588361108782346 0.121911885609813 0.228966098907491 -0.101792076035335 0.666161725881365 0.702453880178807 0.534951816589765
1.85185098648071 -0.103039057145185 -0.0587766487975189 0.122105491909593 0.228691035194754 -0.101016910712784 0.665393470840619 0.703382913592782 0.535278504722033
1.86203098297119 -0.103040081976846 -0.0587015336658182 0.122296127601986 0.228225943213884 -0.100747278196595 0.665341544129282 0.703621726807646 0.536421913184973
1.87208914756775 -0.103042180060062 -0.0586200246992469 0.122486554063622 0.227839267825872 -0.100090694359109 0.66482401678159 0.704329573175566 0.537401977581779
1.88201570510864 -0.103041871103455 -0.0585421526264141 0.122667677497493 0.227575594876168 -0.0997840238547062 0.664534756766654 0.704731192902093 0.538055353846316
1.8919882774353 -0.103034261344992 -0.0584565799671043 0.122862691719172 0.227201853751827 -0.0997584979865545 0.664686772953187 0.704712035935445 0.538382041978584
1.90205979347229 -0.103014994490343 -0.0583759967513025 0.123070079296541 0.226920127921416 -0.099204348697838 0.664167497912706 0.705370319378368 0.538545386044719
